Comunidad,Estación,Máx. núm. de días de lluvia en el mes valor,Máx. núm. de días de lluvia en el mes mes,Máx. núm. de días de lluvia en el mes año,Máx. núm. de días de nieve en el mes valor,Máx. núm. de días de nieve en el mes mes,Máx. núm. de días de nieve en el mes año,Máx. núm. de días de tormenta en el mes valor,Máx. núm. de días de tormenta en el mes mes,Máx. núm. de días de tormenta en el mes año,Prec. máx. en un día (l/m2) valor,Prec. máx. en un día (l/m2) mes,Prec. máx. en un día (l/m2) año,Prec. mensual más alta (l/m2) valor,Prec. mensual más alta (l/m2) mes,Prec. mensual más alta (l/m2) año,Prec. mensual más baja (l/m2) valor,Prec. mensual más baja (l/m2) mes,Prec. mensual más baja (l/m2) año,Racha máx. viento: velocidad (km/h),Racha máx. viento: dirección,Racha máx. viento: mes,Racha máx. viento: año,Tem. máx. absoluta (°C) valor,Tem. máx. absoluta (°C) mes,Tem. máx. absoluta (°C) año,Tem. media de las máx. más alta (°C) valor,Tem. media de las máx. más alta (°C) mes,Tem. media de las máx. más alta (°C) año,Tem. media de las mín. más baja (°C) valor,Tem. media de las mín. más baja (°C) mes,Tem. media de las mín. más baja (°C) año,Tem. media más alta (°C) valor,Tem. media más alta (°C) mes,Tem. media más alta (°C) año,Tem. media más baja (°C) valor,Tem. media más baja (°C) mes,Tem. media más baja (°C) año,Tem. mín. absoluta (°C) valor,Tem. mín. absoluta (°C) mes,Tem. mín. absoluta (°C) año
Extremadura,"Cáceres, Ciudad",25,feb,1947,4,ene,1941,10,may,1921,102.5,ene,1941,238.8,ene,1941,0.0,dic,1929,ND,ND,ND,ND,44.3,ago,1936,38.3,jul,1937,0.2,feb,1956,29.2,ago,1933,4.6,feb,1956,-5.8,feb,1956
Galicia,A Coruña,31,dic,1935,2,dic,1970,10,nov,1997,132.7,mar,1999,399.9,dic,1978,0.0,ago,1940,160,Oeste,feb,1941,39.6,ago,1961,25.0,ago,2003,2.7,feb,1956,21.5,ago,2023,5.8,feb,1956,-3.0,feb,1948
Galicia,A Coruña Aeropuerto,29,mar,2001,3,ene,2010,8,nov,1997,110.6,mar,1999,410.2,dic,1978,0.0,mar,1997,135,Sur,ene,1973,37.7,ago,2003,26.8,jul,2013,0.7,ene,1976,21.4,ago,2003,6.5,ene,1976,-4.8,ene,1985
Galicia,Santiago de Compostela Aeropuerto,30,mar,2001,4,feb,2018,8,may,2000,218.0,oct,1987,868.7,dic,1978,Precipitación inapreciable (ago. 1981),ND,ND,155,Suroeste,feb,1974,39.4,jul,1990,29.7,jul,2013,-1.5,feb,1956,22.4,jul,2013,2.8,feb,1956,-9.0,feb,1948
Galicia,Lugo Aeropuerto,29,nov,2019,9,feb,2018,12,may,1989,73.8,jun,2010,353.2,dic,2000,0.0,mar,1997,122,Sur,oct,1987,41.2,jul,1990,29.5,jul,1990,-2.8,ene,1992,21.5,ago,2003,3.6,ene,1992,-10.0,dic,2005
Galicia,Ourense,29,nov,2019,4,ene,1997,12,may,1989,96.2,sept,2002,406.0,dic,1978,0.0,ago,1978,90,Suroeste,feb,1989,44.1,jul,2022,35.2,jul,2022,-1.9,ene,1976,26.1,jul,2022,4.3,ene,1976,-8.6,dic,2001
Galicia,"Ourense,Instituto",24,ene,1966,,,,5,jul,1952,80.8,nov,1953,296.1,dic,1934,0.0,jul,1967,ND,ND,ND,ND,42.0,jul,1928,34.8,ago,1926,-1.4,feb,1956,25.0,ago,1926,2.4,dic,1931,-7.4,dic,1962
Galicia,Pontevedra,30,mar,2001,1,dic,1990,8,dic,2000,108.1,oct,2014,596.3,mar,2001,0.0,jul,2020,115,Sur,oct,1987,39.5,jul,2006,29.8,jul,2022,3.4,feb,2005,23.4,jul,2022,7.9,ene,1992,-3.6,ene,1987
Galicia,"Pontevedra, Instituto",29,may,1981,1,dic,1970,8,mar,1964,141.3,dic,1945,855.2,mar,1947,0.0,ago,1973,ND,ND,ND,ND,40.0,jun,1981,29.6,jul,1970,-0.9,feb,1924,24.1,jul,1970,6.4,dic,1933,-5.5,dic,1922
Galicia,Vigo Aeropuerto,30,mar,2001,5,feb,1983,9,may,2000,175.0,dic,1978,925.6,dic,1978,0.0,mar,1997,140,Sur,feb,1972,40.8,ago,2016,30.1,jul,2022,1.8,dic,1970,23.3,jul,2022,5.6,dic,1970,-5.0,feb,1963
Illes Balears,"Ibiza, Aeropuerto",22,nov,2021,2,ene,2005,13,oct,2007,156.5,sept,2005,244.8,sept,1996,0.0,ago,2008,130,Oeste,dic,1981,41.0,ago,2022,33.1,ago,2003,3.7,feb,2012,28.6,ago,2003,7.4,feb,1956,-3.0,feb,1956
Illes Balears,"Menorca, Aeropuerto",25,dic,1969,4,feb,2012,11,sept,1995,121.3,dic,1979,258.9,nov,2021,0.0,sept,1970,144,Suroeste,sept,1965,39.6,jul,1983,33.2,ago,2022,4.5,feb,2012,28.9,ago,2003,7.6,ene,1985,-2.4,ene,1985
Illes Balears,"Palma, Puerto",21,nov,2021,5,feb,2012,8,sept,2006,124.3,sept,2015,251.8,nov,2021,0.0,jul,2022,117,Noroeste,dic,1978,39.1,ago,2022,33.7,ago,2003,4.6,feb,2012,29.4,ago,2003,8.5,feb,2012,-0.1,feb,2012
Illes Balears,"Palma de Mallorca, Aeropuerto",21,nov,2021,5,feb,2012,9,oct,1994,106.7,may,2010,241.8,oct,1994,0.0,ago,2011,130,Suroeste,ene,2021,41.4,jun,2001,34.6,ago,2003,0.1,ene,1976,27.7,ago,2003,5.0,feb,1956,-10.0,feb,1956
La Rioja,"Logroño, Aeropuerto",26,ene,1970,8,dic,1970,12,ago,1997,82.6,jul,2017,199.4,may,2008,0.0,sept,1985,126,Noroeste,feb,1989,43.3,ago,2023,34.3,ago,2003,-2.8,feb,1956,26.2,ago,2003,0.5,feb,1956,-11.6,dic,1962
País Vasco,Foronda-Txokiza,27,nov,2019,13,feb,2005,12,may,1990,93.0,jun,1977,253.0,nov,2019,0.2,ene,1993,128,Suroeste,feb,2010,40.8,ago,2012,30.9,ago,2003,-3.2,dic,2001,23.2,ago,2003,0.9,ene,1985,-17.8,ene,1985
País Vasco,Vitoria Aeródromo,28,oct,1960,17,feb,1956,9,jul,1971,81.9,jun,1962,291.9,sept,1949,0.6,jul,1965,ND,ND,ND,ND,39.8,jul,1947,28.0,jul,1947,-6.2,feb,1956,20.8,jul,1947,-2.8,feb,1956,-21.0,dic,1962
País Vasco,Bilbao Aeropuerto,28,dic,1960,7,feb,1956,11,ago,1983,252.6,ago,1983,626.9,ago,1983,0.4,sept,1985,148,Oeste,ene,1965,44.0,ago,2023,29.9,ago,2003,-1.4,feb,1956,24.8,ago,2003,2.1,feb,1956,-8.6,feb,1963
País Vasco,"Donostia / San Sebastián, Igeldo",28,dic,1993,10,feb,2005,12,sept,1933,167.7,may,1997,481.1,nov,2019,2.9,mar,1961,187,Sur,ene,1975,39.7,jun,2022,26.1,ago,2003,-2.7,feb,1956,22.7,ago,2003,0.4,feb,1956,-12.1,feb,1956
País Vasco,"Hondarribia, Malkarroa",27,dic,1993,5,feb,2005,8,ago,2004,214.0,sept,1959,548.0,nov,2019,0.9,oct,1969,154,Sureste,ene,1975,42.7,jun,2022,29.7,ago,2003,-3.7,feb,1956,24.9,ago,2003,0.6,feb,1956,-13.0,feb,1956
Principado de Asturias,Asturias Aeropuerto,28,dic,1981,7,ene,1985,8,may,2017,129.1,sept,2001,396.9,dic,2020,0.9,mar,1997,148,Oeste,feb,2007,36.0,sept,1988,24.4,ago,2003,2.9,feb,1981,21.1,ago,2003,6.6,ene,1985,-3.0,dic,1980
Principado de Asturias,Gijón,29,oct,1992,8,ene,1985,9,jun,1993,149.6,sept,1987,359.1,oct,1992,1.0,sept,1985,150,Oeste,dic,1981,36.4,jun,1998,24.7,ago,1980,1.1,ene,1989,20.9,ago,1997,6.6,ene,1985,-4.8,dic,1980
Principado de Asturias,"Gijón, Puerto",27,nov,2019,2,dic,2010,10,jun,2022,86.5,jun,2010,382.9,dic,2020,6.1,jul,2013,ND,ND,ND,ND,35.0,may,2020,24.6,sept,2023,5.5,feb,2012,22.0,ago,2003,8.4,feb,2012,-0.5,mar,2005
Principado de Asturias,Gijón. La Merced,27,abr,1965,8,feb,1956,12,jun,1950,104.4,sept,1940,297.9,dic,1960,0.7,feb,1945,166,Suroeste,nov,1965,31.3,jul,1941,24.4,ago,1975,2.3,feb,1956,21.2,ago,1947,4.9,feb,1956,-3.4,ene,1946
Principado de Asturias,Oviedo,28,may,1984,7,feb,1983,12,may,2008,109.5,may,1975,365.4,nov,2019,2.3,sept,1980,190,Sur,dic,1978,39.0,jul,2022,26.3,ago,2003,1.7,dic,1990,21.7,ago,2003,5.1,dic,1975,-6.0,ene,1985
Región de Murcia,"Alcantarilla, Base Aérea",25,dic,1963,2,dic,1962,10,jun,1992,179.7,sept,2019,257.3,dic,2016,0.0,nov,2023,103,Noroeste,jul,1974,47.0,ago,2021,37.1,jul,2015,0.3,ene,1944,30.4,jul,2023,6.5,feb,1956,-6.0,dic,1941
Región de Murcia,Murcia,20,mar,2022,1,dic,1999,10,oct,1986,169.0,sept,2019,230.8,dic,2016,0.0,nov,2023,108,Oeste,oct,1987,46.2,ago,2021,37.5,jul,2015,-0.2,ene,1985,30.7,jul,2023,7.5,ene,1985,-7.5,ene,1985
Región de Murcia,San Javier Aeropuerto,20,dic,1963,2,ene,1957,10,oct,1986,330.0,nov,1987,336.2,nov,1987,0.0,nov,2023,134,Norte,ene,1951,40.5,jul,1961,31.7,ago,2023,1.9,feb,1956,27.7,jul,2023,7.1,feb,1956,-5.4,dic,1970
